city,attribute,r2_var,mae_var,rmse_var
Chengde,PD,0.7930975128100227,0.1707,0.2041
Chengde,PIV,0.8619382302094586,0.11289999999999999,0.13419999999999999
Chengde,PRA,0.8682544224087589,0.10529999999999999,0.1323
Chengde,Phys,0.8182412984613541,0.1387,0.18510000000000001
Chengde,SIV,0.8333786771321142,0.1407,0.1884
Chengde,TIV,0.9394645903227878,0.047,0.054299999999999994
Chengde,Teach,0.8193433879269632,0.13019999999999998,0.1543
Chengde,UR,0.8438196922090269,0.1131,0.1324
Chengde,URate,0.8227742194051978,0.122,0.16269999999999998
Cangzhou,AW,0.7657257711088374,0.18170000000000003,0.2328
Cangzhou,Beds,0.8018112752988112,0.168,0.1986
Cangzhou,Bus,0.7380334862081586,0.2155,0.2896
Cangzhou,DEU,0.7641237418117556,0.1462,0.1959
Cangzhou,DWU,0.7352152039431316,0.1604,0.2113
Cangzhou,ERV,0.8694645903227879,0.105,0.1379
Cangzhou,ESV,0.7739839502291312,0.1868,0.2155
Cangzhou,GCBA,0.7435883147365423,0.2018,0.2455
Cangzhou,GDP,0.8038607517677849,0.1593,0.2064
Cangzhou,GSA,0.7347185663506808,0.1746,0.2348
Cangzhou,HETeach,0.7776374822490929,0.172,0.21969999999999998
Cangzhou,LFE,0.7423518654673738,0.1636,0.2101
Cangzhou,PD,0.7237520642959775,0.166,0.21109999999999998
Cangzhou,PIV,0.7793113024108536,0.1725,0.23149999999999998
Cangzhou,PRA,0.7667673786213384,0.19760000000000003,0.2663
Cangzhou,Phys,0.7762377352866798,0.1625,0.20199999999999999
Cangzhou,SIV,0.7610984558977423,0.18899999999999997,0.2323
Cangzhou,TIV,0.8804301084580837,0.0828,0.1048
Cangzhou,Teach,0.7858005871847233,0.1459,0.1777
Cangzhou,UR,0.7769164332476121,0.13720000000000002,0.1699
Cangzhou,URate,0.7931990115644514,0.1495,0.1757
Langfang,AW,0.7672458305858061,0.1843,0.24600000000000002
Langfang,Beds,0.8193795212440826,0.10640000000000001,0.1432
Langfang,Bus,0.7667889131802149,0.1508,0.1986
Langfang,DEU,0.7812412911016703,0.1534,0.20620000000000002
Langfang,DWU,0.7616711519761918,0.1414,0.1861
Langfang,ERV,0.8813569749514722,0.0857,0.10710000000000001
Langfang,ESV,0.8005274536345438,0.1398,0.1711
Langfang,GCBA,0.7686441634466555,0.1315,0.16269999999999998
Langfang,GDP,0.8056845847791817,0.1371,0.1656
Langfang,GSA,0.7686515150465467,0.1275,0.1478
Langfang,HETeach,0.7893052955837148,0.1463,0.1789
Langfang,LFE,0.762426552614727,0.1771,0.2254
Langfang,PD,0.7257754971823249,0.19510000000000002,0.23600000000000002
Langfang,PIV,0.8015520715277524,0.1175,0.1355
Langfang,PRA,0.7615027079401967,0.1586,0.2077
Langfang,Phys,0.7774469238118248,0.147,0.188
Langfang,SIV,0.7795931531866922,0.1288,0.1528
Langfang,TIV,0.9087234882511973,0.055099999999999996,0.0732
Langfang,Teach,0.7713498692304245,0.18539999999999998,0.2432
Langfang,UR,0.7756241189080233,0.1892,0.2238
Langfang,URate,0.8050094519818684,0.1376,0.15869999999999998
Hengshui,AW,0.7705046928482255,0.1263,0.14980000000000002
Hengshui,Beds,0.7846081989302233,0.1309,0.1718
Hengshui,Bus,0.7695203251423104,0.1558,0.17980000000000002
Hengshui,DEU,0.7529220608107462,0.14029999999999998,0.174
Hengshui,DWU,0.7417797383971055,0.17579999999999998,0.20920000000000002
Hengshui,ERV,0.8694645903227879,0.0721,0.0842
Hengshui,ESV,0.781665731906103,0.1796,0.21600000000000003
Hengshui,GCBA,0.7278011086217657,0.1999,0.235
Hengshui,GDP,0.8150328305131258,0.13390000000000002,0.1679
Hengshui,GSA,0.7494307259570233,0.1535,0.1887
Hengshui,HETeach,0.7608851238171518,0.17379999999999998,0.20739999999999997
Hengshui,LFE,0.7563881986465691,0.1466,0.1832
Hengshui,PD,0.7163937633198764,0.2278,0.26890000000000003
Hengshui,PIV,0.7889072821154943,0.1778,0.2214
Hengshui,PRA,0.7654091201299295,0.15460000000000002,0.1963
Hengshui,Phys,0.7864129207421093,0.17550000000000002,0.23170000000000002
Hengshui,SIV,0.776613657581397,0.18239999999999998,0.21309999999999998
Hengshui,TIV,0.8977464478759714,0.07429999999999999,0.0941
Hengshui,Teach,0.7546078280004417,0.1863,0.247
Hengshui,UR,0.7732992352468264,0.14529999999999998,0.1827
Hengshui,URate,0.7956171110053686,0.1516,0.18789999999999998
